# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 1.08688 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.345350234121e-02       2.461065661391e+04 
       1.358216781551e-02       2.465514499923e+04 
       1.371086956919e-02       2.469744231285e+04 
       1.383960771124e-02       2.473711953946e+04 
       1.396838237370e-02       2.477516714278e+04 
       1.409719371134e-02       2.481113315000e+04 
       1.422604190131e-02       2.484630626023e+04 
       1.435492714280e-02       2.488004060151e+04 
       1.448384965681e-02       2.490885421665e+04 
       1.461280968587e-02       2.493690825867e+04 
       1.474180749387e-02       2.496286648431e+04 
       1.487084336583e-02       2.498648822849e+04 
       1.499991760780e-02       2.500806147263e+04 
       1.512903054666e-02       2.502923822867e+04 
       1.525818253008e-02       2.504743710934e+04 
       1.538737392640e-02       2.506487778680e+04 
       1.551660512459e-02       2.507694043566e+04 
       1.564587653420e-02       2.508938506452e+04 
       1.577518858537e-02       2.510048871774e+04 
       1.590454172880e-02       2.510980681829e+04 
       1.603393643583e-02       2.511729455007e+04 
       1.616337319843e-02       2.512313928130e+04 
       1.629285252931e-02       2.512765626688e+04 
       1.642237496201e-02       2.513032397927e+04 
       1.655194105097e-02       2.513420550788e+04 
       1.668155137167e-02       2.513364522753e+04 
       1.681120652078e-02       2.513144916229e+04 
       1.694090711632e-02       2.512774029590e+04 
       1.707065379782e-02       2.512250346937e+04 
       1.720044722654e-02       2.511645394844e+04 
       1.733028808563e-02       2.510807671535e+04 
       1.746017708043e-02       2.509841487304e+04 
       1.759011493867e-02       2.508718310018e+04 
       1.772010241070e-02       2.507461293525e+04 
       1.785014026986e-02       2.506056293121e+04 
       1.798022931267e-02       2.504515810367e+04 
       1.811037035923e-02       2.502838837961e+04 
       1.824056425349e-02       2.501021891489e+04 
       1.837081186360e-02       2.499080148504e+04 
       1.850111408231e-02       2.497005562139e+04 
       1.863147182730e-02       2.494795992792e+04 
       1.876188604159e-02       2.492411866097e+04 
       1.889235769399e-02       2.489941716824e+04 
       1.902288777947e-02       2.487348566211e+04 
       1.915347731963e-02       2.484624397289e+04 
       1.928412736318e-02       2.481774920734e+04 
       1.941483898641e-02       2.478719773346e+04 
       1.954561329368e-02       2.475687537539e+04 
       1.967645141796e-02       2.472515354212e+04 
       1.980735452136e-02       2.469232461614e+04 
       1.993832379568e-02       2.465989667349e+04 
       2.006936046299e-02       2.462492298692e+04 
       2.020046577623e-02       2.458890402076e+04 
       2.033164101982e-02       2.455123946194e+04 
       2.046288751033e-02       2.451384724747e+04 
       2.059420659708e-02       2.447496271064e+04 
       2.072559966287e-02       2.443509113727e+04 
       2.085706812467e-02       2.439176337411e+04 
       2.098861343435e-02       2.435118838048e+04 
       2.112023707940e-02       2.430823656387e+04 
       2.125194058375e-02       2.426432234719e+04 
       2.138372550854e-02       2.421949782553e+04 
       2.151559345294e-02       2.417279663100e+04 
       2.164754605502e-02       2.412612722325e+04 
       2.177958499261e-02       2.408003276103e+04 
       2.191171198422e-02       2.403082471330e+04 
       2.204392878994e-02       2.398186825207e+04 
       2.217623721245e-02       2.393125963627e+04 
       2.230863909798e-02       2.388075338306e+04 
       2.244113633731e-02       2.382927441001e+04 
       2.257373086690e-02       2.377719477959e+04 
       2.270642466990e-02       2.372424635742e+04 
       2.283921977730e-02       2.367054145504e+04 
       2.297211826912e-02       2.361612486348e+04 
       2.310512227554e-02       2.356095543998e+04 
       2.323823397818e-02       2.350509654312e+04 
       2.337145561136e-02       2.344856850630e+04 
       2.350478946339e-02       2.339279797431e+04 
       2.363823787795e-02       2.333475529114e+04 
       2.377180325545e-02       2.327605895335e+04 
       2.390548805450e-02       2.321672948703e+04 
       2.403929479338e-02       2.315692290808e+04 
       2.417322605158e-02       2.309657905890e+04 
       2.430728447135e-02       2.303565549301e+04 
       2.444147275939e-02       2.297422392354e+04 
       2.457579368849e-02       2.291225520701e+04 
       2.471025009927e-02       2.284976026344e+04 
       2.484484490201e-02       2.278677568541e+04 
       2.497958107847e-02       2.272328728487e+04 
       2.511446168386e-02       2.265953166218e+04 
       2.524948984873e-02       2.259526195458e+04 
       2.538466878113e-02       2.252985270780e+04 
       2.552000176864e-02       2.246444830633e+04 
       2.565549218060e-02       2.239859337590e+04 
       2.579114347036e-02       2.233231705975e+04 
       2.592695917763e-02       2.226563376820e+04 
       2.606294293087e-02       2.219853844550e+04 
       2.619909844984e-02       2.213104462905e+04 
       2.633542954816e-02       2.206315979690e+04 
       2.647194013599e-02       2.199487862400e+04 
       2.660863422283e-02       2.192624191678e+04 
       2.674551592036e-02       2.185681215506e+04 
       2.688258944545e-02       2.178705612025e+04 
       2.701985912322e-02       2.171766800819e+04 
       2.715732939026e-02       2.164718780458e+04 
       2.729500479791e-02       2.157675026470e+04 
       2.743289001572e-02       2.150533604140e+04 
       2.757098983499e-02       2.143447398461e+04 
       2.770930917247e-02       2.136417610195e+04 
       2.784785307421e-02       2.129275987723e+04 
       2.798662671950e-02       2.122137298876e+04 
       2.812563542501e-02       2.114943611284e+04 
       2.826488464907e-02       2.107725762905e+04 
       2.840437999615e-02       2.100423860531e+04 
       2.854412722143e-02       2.093199507105e+04 
       2.868413223563e-02       2.085980701036e+04 
       2.882440111001e-02       2.078691200443e+04 
       2.896494008153e-02       2.071318638693e+04 
       2.910575555829e-02       2.063918220109e+04 
       2.924685412510e-02       2.056558201540e+04 
       2.938824254937e-02       2.049178053299e+04 
       2.952992778717e-02       2.041780269282e+04 
       2.967191698954e-02       2.034337622694e+04 
       2.981421750917e-02       2.026902757407e+04 
       2.995683690719e-02       2.019525256774e+04 
       3.009978296041e-02       2.012016656824e+04 
       3.024306366874e-02       2.004611854754e+04 
       3.038668726305e-02       1.997067709714e+04 
       3.053066221326e-02       1.989585573831e+04 
       3.067499723687e-02       1.982103329627e+04 
       3.081970130782e-02       1.974624863139e+04 
       3.096478366575e-02       1.967114561286e+04 
       3.111025382574e-02       1.959591712314e+04 
       3.125612158837e-02       1.952059892291e+04 
       3.140239705036e-02       1.944520440168e+04 
       3.154909061568e-02       1.936968939260e+04 
       3.169621300709e-02       1.929416645628e+04 
       3.184377527834e-02       1.921844621596e+04 
       3.199178882691e-02       1.914331408254e+04 
       3.214026540734e-02       1.906685009962e+04 
       3.228921714521e-02       1.899158131286e+04 
       3.243865655189e-02       1.891571010342e+04 
       3.258859653986e-02       1.883985448905e+04 
       3.273905043897e-02       1.876397852723e+04 
       3.289003201341e-02       1.868810741700e+04 
       3.304155547957e-02       1.861222821713e+04 
       3.319363552486e-02       1.853587084390e+04 
       3.334628732747e-02       1.846003095620e+04 
       3.349952657718e-02       1.838401912117e+04 
       3.365336949727e-02       1.830865958056e+04 
       3.380783286766e-02       1.823277549498e+04 
       3.396293404924e-02       1.815688138798e+04 
       3.411869100955e-02       1.808099330521e+04 
       3.427512234995e-02       1.800515488668e+04 
       3.443224733424e-02       1.792932578904e+04 
       3.459008591893e-02       1.785350622430e+04 
       3.474865878527e-02       1.777742799075e+04 
       3.490798737312e-02       1.770163025609e+04 
       3.506809391682e-02       1.762583413914e+04 
       3.522900148316e-02       1.755009446867e+04 
       3.539073401172e-02       1.747428418275e+04 
       3.555331635755e-02       1.739843569833e+04 
       3.571677433657e-02       1.732279922309e+04 
       3.588113477374e-02       1.724724176075e+04 
       3.604642555434e-02       1.717169341730e+04 
       3.621267567844e-02       1.709579419658e+04 
       3.637991531895e-02       1.702029009587e+04 
       3.654817588347e-02       1.694485840289e+04 
       3.671749008023e-02       1.686941409033e+04 
       3.688789198845e-02       1.679432430007e+04 
       3.705941713354e-02       1.671832249644e+04 
       3.723210256743e-02       1.664418734194e+04 
       3.740598695455e-02       1.656858724106e+04 
       3.758111066392e-02       1.649322837227e+04 
       3.775751586782e-02       1.641763041375e+04 
       3.793524664767e-02       1.634247280570e+04 
       3.811434910777e-02       1.626715354362e+04 
       3.829487149749e-02       1.619199206885e+04 
       3.847686434281e-02       1.611684459615e+04 
       3.866038058803e-02       1.604243813858e+04 
       3.884547574853e-02       1.596753722444e+04 
       3.903220807568e-02       1.589175116365e+04 
       3.922063873514e-02       1.581700559246e+04 
       3.941083199968e-02       1.574206298684e+04 
       3.960285545815e-02       1.566718276637e+04 
       3.979678024207e-02       1.559243335467e+04 
       3.999268127174e-02       1.551749373004e+04 
       4.019063752389e-02       1.544255087219e+04 
       4.039073232308e-02       1.536759145934e+04 
       4.059305365949e-02       1.529254522522e+04 
       4.079769453589e-02       1.521744543232e+04 
       4.100475334713e-02       1.514234952848e+04 
       4.121433429578e-02       1.506714219012e+04 
       4.142654784803e-02       1.499195125321e+04 
       4.164151123470e-02       1.491675726401e+04 
       4.185934900260e-02       1.484146317331e+04 
       4.208019362245e-02       1.476610784985e+04 
       4.230418616037e-02       1.469067617096e+04 
       4.253147702093e-02       1.461528347268e+04 
       4.276222677093e-02       1.453969512365e+04 
       4.299660705470e-02       1.446398125588e+04 
       4.323480161294e-02       1.438808556993e+04 
       4.347700741940e-02       1.431252324724e+04 
       4.372343595191e-02       1.423639243058e+04 
       4.397431461676e-02       1.415961456944e+04 
       4.422988834891e-02       1.408307667592e+04 
       4.449042141415e-02       1.400643904146e+04 
       4.475619944402e-02       1.392953098075e+04 
       4.502753173967e-02       1.385229791307e+04 
       4.530475388766e-02       1.377478144474e+04 
       4.558823073842e-02       1.369671874806e+04 
       4.587835980816e-02       1.361886484402e+04 
       4.617557517649e-02       1.354013691979e+04 
       4.648035196687e-02       1.346079135889e+04 
       4.679321151466e-02       1.338221393827e+04 
       4.711472734940e-02       1.330250764014e+04 
       4.744553214539e-02       1.322226226740e+04 
       4.778632582849e-02       1.314146232890e+04 
       4.813788506918e-02       1.305978753728e+04 
       4.850107444523e-02       1.297795460962e+04 
       4.887685962402e-02       1.289531915403e+04 
       4.926632299900e-02       1.281105149569e+04 
       4.967068232202e-02       1.272656445817e+04 
       5.009131300929e-02       1.264170658464e+04 
       5.052977497238e-02       1.255523495423e+04 
       5.098784504679e-02       1.246757050759e+04 
       5.146755637221e-02       1.237777980869e+04 
       5.197124643627e-02       1.228818941986e+04 
       5.250161594253e-02       1.219552687347e+04 
       5.306180122111e-02       1.210104017148e+04 
       5.365546357261e-02       1.200497547339e+04 
       5.428689970929e-02       1.190633177168e+04 
       5.496117826466e-02       1.180461633898e+04 
       5.568430800484e-02       1.169949187727e+04 
       5.646344348173e-02       1.159028234430e+04 
       5.730713255660e-02       1.147611782082e+04 
       5.822560577491e-02       1.135610768732e+04 
       5.923109674703e-02       1.122833030088e+04 
       6.033815975752e-02       1.109131560858e+04 
       6.156390671962e-02       1.094231577357e+04 
       6.292800885714e-02       1.077826572889e+04 
       6.445219319106e-02       1.059444563253e+04 
       6.615883502998e-02       1.038506473116e+04 
       6.806821412348e-02       1.014305379120e+04 
       7.019430683848e-02       9.861331384932e+03 
       7.253989677609e-02       9.534175422334e+03 
       7.509308932788e-02       9.157230061659e+03 
       7.782776119021e-02       8.734857447700e+03 
       8.070866962478e-02       8.275681081604e+03 
       8.369884861639e-02       7.795268870968e+03 
       8.676568449139e-02       7.312960599931e+03 
       8.988376852111e-02       6.846717430899e+03 
       9.303496220262e-02       6.412706202632e+03 
       9.620706124085e-02       6.023152201443e+03 
       9.939216607406e-02       5.683798607017e+03 
       1.025852881446e-01       5.396396009604e+03 
       1.057833254043e-01       5.159340930205e+03 
       1.089843671255e-01       4.966480242743e+03 
       1.121872431353e-01       4.810083000255e+03 
       1.153912392270e-01       4.680682710334e+03 
       1.185959203173e-01       4.568366393556e+03 
       1.218010215980e-01       4.463441654450e+03 
       1.250063819226e-01       4.357376194956e+03 
       1.282119031791e-01       4.244011007059e+03 
       1.314175255647e-01       4.118943469558e+03 
       1.346232125542e-01       3.980468946540e+03 
       1.378289417700e-01       3.829964717622e+03 
       1.410346994373e-01       3.670297392050e+03 
