# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.04206e-05 to 1.06897 h/Mpc,
# number of wavenumbers equal to 112
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_m                    7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_cdm                 13:t_ur                  14:t_tot              
       1.042057218184e-04      -2.240086730550e+00      -1.685124975970e+00      -1.685125201085e+00      -2.239943469632e+00      -9.881060926522e-02      -1.685288001268e+00       4.710629389186e-01       4.709283087016e-01       1.028677614038e-05       1.167253185882e-05       1.167254992383e-05       1.026415154437e-05       1.167200131772e-05 
       1.311872312515e-04      -2.306982739701e+00      -1.742765920880e+00      -1.742766481281e+00      -2.306631536857e+00      -1.565761247247e-01      -1.742931919658e+00       4.710137357669e-01       4.708851182010e-01       1.509155984456e-05       1.849825306595e-05       1.849829802021e-05       1.503712743612e-05       1.849694945042e-05 
       1.651549391254e-04      -2.404439658884e+00      -1.834103724537e+00      -1.834105087411e+00      -2.403590940360e+00      -2.481114212040e-01      -1.834272135506e+00       4.709364776323e-01       4.708169824828e-01       2.104253796733e-05       2.931408387321e-05       2.931419509340e-05       2.091496797737e-05       2.931092113713e-05 
       2.079177497483e-04      -2.538926427622e+00      -1.978827292461e+00      -1.978830749722e+00      -2.536919423549e+00      -3.931558556210e-01      -1.978994325401e+00       4.708134333916e-01       4.707074218798e-01       2.675756489314e-05       4.645026230305e-05       4.645053582542e-05       2.647128189238e-05       4.644274268225e-05 
       2.617529387212e-04      -2.707585744662e+00      -2.208082592209e+00      -2.208091083041e+00      -2.703011363004e+00      -6.229066654476e-01      -2.208235777031e+00       4.706265068698e-01       4.705395841783e-01       2.814828046343e-05       7.359570219900e-05       7.359636579833e-05       2.755235699331e-05       7.357838580343e-05 
       3.295274261680e-04      -2.883192673881e+00      -2.571162742062e+00      -2.571183339642e+00      -2.873364143376e+00      -9.867708452318e-01      -2.571270484897e+00       4.703401103391e-01       4.702783641037e-01       1.668243353847e-05       1.165839425957e-04       1.165855217904e-04       1.560265800392e-05       1.165460164074e-04 
       4.148504506860e-04      -2.996538643548e+00      -3.145947799747e+00      -3.145996781595e+00      -2.977382074552e+00      -1.562765599056e+00      -3.145942933607e+00       4.699164208698e-01       4.698840603319e-01      -1.907393813679e-05       1.846338449770e-04       1.846374943077e-04      -2.051495517795e-05       1.845569935153e-04 
       5.222657744628e-04      -2.948523099854e+00      -4.055357997661e+00      -4.055471201649e+00      -2.916882175108e+00      -2.474038514787e+00      -4.055124796828e+00       4.693010095348e-01       4.692960151373e-01      -7.942300013632e-05       2.922887065912e-04       2.922967846611e-04      -7.984074630290e-05       2.921500227554e-04 
       6.574936551816e-04      -2.720566059443e+00      -5.493026726966e+00      -5.493276524112e+00      -2.681830005242e+00      -3.914516372897e+00      -5.492419002365e+00       4.684344876500e-01       4.684447673712e-01      -1.250949457867e-04       4.624538052025e-04       4.624706444607e-04      -1.207727164147e-04       4.622388202133e-04 
       8.277354706016e-04      -2.535124458981e+00      -7.763261039814e+00      -7.763779541616e+00      -2.510203165931e+00      -6.188898068215e+00      -7.762160786685e+00       4.672354470675e-01       4.672437909509e-01      -1.028765242754e-04       7.311145904830e-04       7.311471195983e-04      -9.127483430936e-05       7.308175748257e-04 
       1.042057218184e-03      -2.564888974010e+00      -1.134279318313e+01      -1.134378714867e+01      -2.567625325743e+00      -9.774399248655e+00      -1.134105523172e+01       4.655761002150e-01       4.655776223915e-01      -1.128757893531e-04       1.154636015483e-03       1.154693786741e-03      -1.039887787582e-04       1.154190229593e-03 
       1.311872312515e-03      -2.392495857918e+00      -1.697528546339e+01      -1.697702126593e+01      -2.393613270477e+00      -1.541526523454e+01      -1.697246900550e+01       4.632733069416e-01       4.632760872426e-01      -2.006560400546e-04       1.820935856206e-03       1.821030565672e-03      -2.057010909878e-04       1.820223949883e-03 
       1.651549391254e-03      -2.336382470440e+00      -2.581359018137e+01      -2.581641092786e+01      -2.320115162026e+00      -2.426514566173e+01      -2.580907583254e+01       4.601084087195e-01       4.601094362559e-01      -1.402315201149e-04       2.866287254810e-03       2.866433007856e-03      -1.418017721247e-04       2.865233583210e-03 
       2.079177497483e-03      -2.160575693613e+00      -3.963262169137e+01      -3.963721751630e+01      -2.158235528760e+00      -3.810010961859e+01      -3.962549805125e+01       4.558251383804e-01       4.558263208438e-01      -2.251227949557e-04       4.500477431548e-03       4.500699586884e-03      -2.138847955280e-04       4.498817633317e-03 
       2.617529387212e-03      -2.115171205090e+00      -6.113817336888e+01      -6.114631681958e+01      -2.099111844387e+00      -5.962791573857e+01      -6.112771346063e+01       4.501101825476e-01       4.501107061709e-01      -2.610570587360e-04       7.043337513008e-03       7.043689574352e-03      -2.669565381169e-04       7.040775538466e-03 
       3.295274261680e-03      -2.017786859798e+00      -9.440786992638e+01      -9.442299150185e+01      -1.980989343457e+00      -9.292878745948e+01      -9.439349625959e+01       4.426063363484e-01       4.426065864669e-01      -2.918946382878e-04       1.097682253545e-02       1.097738147629e-02      -3.330532250475e-04       1.097287828809e-02 
       4.148504506860e-03      -1.900988480742e+00      -1.454941565951e+02      -1.455230149285e+02      -1.766880953691e+00      -1.440593026721e+02      -1.454763213290e+02       4.329198551877e-01       4.329199730157e-01      -2.026664508779e-04       1.701634097656e-02       1.701721242963e-02      -2.514978516011e-04       1.701033090915e-02 
       5.222657744628e-03      -1.686287536353e+00      -2.232071153245e+02      -2.232655061598e+02      -1.682503031410e+00      -2.218386013219e+02      -2.231913140664e+02       4.206257578525e-01       4.206257578525e-01      -2.740851234006e-04       2.620302499333e-02       2.620440144673e-02      -2.727307737507e-04       2.619382644189e-02 
       6.574936551816e-03      -1.624898626418e+00      -3.400527591159e+02      -3.401757300257e+02      -1.621251902454e+00      -3.387902936595e+02      -3.400570713325e+02       4.053129756136e-01       4.053129756136e-01      -2.641072575183e-04       4.001706615202e-02       4.001923537557e-02      -2.628022161935e-04       4.000313505379e-02 
       8.277354706016e-03      -1.549631901172e+00      -5.131429395869e+02      -5.134110010793e+02      -1.546154137552e+00      -5.120660656672e+02      -5.132187000890e+02       3.865385343880e-01       3.865385343880e-01      -2.518761691582e-04       6.048426596296e-02       6.048770815570e-02      -2.506315993157e-04       6.046340491454e-02 
       1.042057218184e-02      -1.458880242254e+00      -7.647529952445e+02      -7.653496629446e+02      -1.455606178799e+00      -7.640294141579e+02      -7.650318009920e+02       3.639015446998e-01       3.639015446998e-01      -2.371269412801e-04       9.024630855912e-02       9.025182603700e-02      -2.359552732298e-04       9.021555817502e-02 
       1.311872312515e-02      -1.350987705684e+00      -1.121368837329e+03      -1.122704444074e+03      -1.347955758420e+00      -1.121358815377e+03      -1.122165644527e+03       3.369889396050e-01       3.369889396050e-01      -2.195872089326e-04       1.324536704191e-01       1.324626265331e-01      -2.185021824925e-04       1.324093115909e-01 
       1.651549391252e-02      -1.224660008096e+00      -1.609582156425e+03      -1.612540041951e+03      -1.221911607279e+00      -1.611045793956e+03      -1.611602706173e+03       3.054779018196e-01       3.054779018196e-01      -1.990550621360e-04       1.902928293443e-01       1.903076807653e-01      -1.980715123889e-04       1.902308176248e-01 
       2.079177481046e-02      -1.079875756076e+00      -2.247091418986e+03      -2.253417094787e+03      -1.077452300194e+00      -2.251515545273e+03      -2.251762784779e+03       2.693630750485e-01       2.693630750485e-01      -1.755210830633e-04       2.659362041107e-01       2.659607472797e-01      -1.746538216497e-04       2.658527740218e-01 
       2.617516848897e-02      -9.202289453207e-01      -3.030849237976e+03      -3.043552790649e+03      -9.181638088007e-01      -3.040783608206e+03      -3.040665007704e+03       2.295409522002e-01       2.295409522002e-01      -1.495727148299e-04       3.591591710151e-01       3.591996996063e-01      -1.488336881805e-04       3.590527488648e-01 
       3.293535888825e-02      -7.561400423939e-01      -3.937240227756e+03      -3.960065851107e+03      -7.544431724279e-01      -3.955844616936e+03      -3.955319532150e+03       1.886107931070e-01       1.886107931070e-01      -1.229014273832e-04       4.672320062893e-01       4.672951842011e-01      -1.222941919230e-04       4.671023976121e-01 
