# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.04206e-05 to 1.06897 h/Mpc,
# number of wavenumbers equal to 112
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_m                    7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_cdm                 13:t_ur                  14:t_tot              
       2.407233424897e-01      -7.853779666533e-02      -2.185333062980e+04      -2.196761776184e+04      -7.836154445837e-02      -2.194959916949e+04      -2.194322412249e+04       1.959038611459e-02       1.959038611459e-02      -1.276538295541e-05       2.592568235281e+00       2.592848579129e+00      -1.270230942035e-05       2.591790162760e+00 
       2.487781963727e-01      -7.554596949249e-02      -2.245827886155e+04      -2.256699543640e+04      -7.537643242371e-02      -2.254985439977e+04      -2.254330069250e+04       1.884410810593e-02       1.884410810593e-02      -1.227924123306e-05       2.663474368207e+00       2.663746277544e+00      -1.221857092061e-05       2.662661448699e+00 
       2.571062024021e-01      -7.253652912399e-02      -2.303722857956e+04      -2.314238345808e+04      -7.237374384600e-02      -2.312580443301e+04      -2.311907918412e+04       1.809343596150e-02       1.809343596150e-02      -1.178999920579e-05       2.731488991955e+00       2.731752879015e+00      -1.173174479742e-05       2.730642704039e+00 
       2.657185041487e-01      -6.928762360937e-02      -2.350447767178e+04      -2.361154391315e+04      -6.913212952574e-02      -2.359466737700e+04      -2.358780180928e+04       1.728303238143e-02       1.728303238143e-02      -1.126192742653e-05       2.786869861829e+00       2.787139882999e+00      -1.120628225610e-05       2.786007076172e+00 
       2.746273130113e-01      -6.581432979088e-02      -2.384352105565e+04      -2.395783477908e+04      -6.566663062667e-02      -2.393982270684e+04      -2.393285293364e+04       1.641665765667e-02       1.641665765667e-02      -1.069734362660e-05       2.827643896417e+00       2.827933892412e+00      -1.064448798107e-05       2.826781989626e+00 
       2.838460980293e-01      -6.235885241271e-02      -2.412782930330e+04      -2.425065513707e+04      -6.221890806877e-02      -2.423130886226e+04      -2.422425064765e+04       1.555472701719e-02       1.555472701719e-02      -1.013567217410e-05       2.862071171516e+00       2.862374833398e+00      -1.008559168605e-05       2.861207310780e+00 
       2.933898084443e-01      -5.922581135833e-02      -2.447931669246e+04      -2.460755513543e+04      -5.909289862076e-02      -2.458736126603e+04      -2.458019593402e+04       1.477322465519e-02       1.477322465519e-02      -9.626449762740e-06       2.904128789619e+00       2.904444969562e+00      -9.578885681928e-06       2.903259022580e+00 
       3.032751365091e-01      -5.651264860383e-02      -2.496074195259e+04      -2.508905648281e+04      -5.638582506819e-02      -2.506885294265e+04      -2.506154403618e+04       1.409645626705e-02       1.409645626705e-02      -9.185497433085e-06       2.960961033315e+00       2.961280574432e+00      -9.140112492028e-06       2.960071864245e+00 
       3.135208303567e-01      -5.408518916019e-02      -2.553491772308e+04      -2.566002528268e+04      -5.396381287411e-02      -2.564032754390e+04      -2.563284889795e+04       1.349095321853e-02       1.349095321853e-02      -8.790952034365e-06       3.028488074582e+00       3.028800090237e+00      -8.747516385398e-06       3.027566146432e+00 
       3.241480698548e-01      -5.168927856325e-02      -2.608951701027e+04      -2.621333431307e+04      -5.157327900049e-02      -2.619384126603e+04      -2.618619817775e+04       1.289331975012e-02       1.289331975012e-02      -8.401530659117e-06       3.093872796956e+00       3.094185242470e+00      -8.360019105339e-06       3.092925650908e+00 
       3.351809225861e-01      -4.917458473486e-02      -2.653764049533e+04      -2.666487011928e+04      -4.906422835175e-02      -2.664484316878e+04      -2.663706562038e+04       1.226605708794e-02       1.226605708794e-02      -7.992773006490e-06       3.147134211588e+00       3.147453755434e+00      -7.953280884675e-06       3.146172209381e+00 
       3.466469028828e-01      -4.662678873490e-02      -2.690965899200e+04      -2.704350047041e+04      -4.652215031923e-02      -2.702243705212e+04      -2.701454655722e+04       1.163053757981e-02       1.163053757981e-02      -7.578646491690e-06       3.191721770638e+00       3.192060563450e+00      -7.541200641174e-06       3.190758543686e+00 
       3.585776648917e-01      -4.423142255633e-02      -2.731220944427e+04      -2.745070909224e+04      -4.413215947332e-02      -2.742891596860e+04      -2.742090417911e+04       1.103303986833e-02       1.103303986833e-02      -7.189286578574e-06       3.239764565463e+00       3.240108047737e+00      -7.153764300047e-06       3.238786494324e+00 
       3.710098719951e-01      -4.208097020888e-02      -2.781863419741e+04      -2.795789059551e+04      -4.198653412137e-02      -2.793598040768e+04      -2.792781801234e+04       1.049663353034e-02       1.049663353034e-02      -6.839840594744e-06       3.299651999646e+00       3.299998985712e+00      -6.806045855939e-06       3.298653451337e+00 
       3.839863011853e-01      -4.006915059872e-02      -2.837762332866e+04      -2.851606606087e+04      -3.997922821320e-02      -2.849428537713e+04      -2.848595745683e+04       9.994807053301e-03       9.994807053301e-03      -6.512761886836e-06       3.365569037230e+00       3.365916751488e+00      -6.480582243038e-06       3.364545314114e+00 
       3.975572647073e-01      -3.805857983136e-02      -2.889269014308e+04      -2.903311109757e+04      -3.797316973166e-02      -2.901102135921e+04      -2.900254011291e+04       9.493292432915e-03       9.493292432915e-03      -6.185977508439e-06       3.426634936351e+00       3.426992634484e+00      -6.155412662696e-06       3.425595735044e+00 
       4.117824665094e-01      -3.603344753025e-02      -2.934571913116e+04      -2.949083378992e+04      -3.595258282315e-02      -2.946800845336e+04      -2.945939140190e+04       8.988145705788e-03       8.988145705788e-03      -5.856860316412e-06       3.480598597996e+00       3.480965861621e+00      -5.827922181122e-06       3.479546344558e+00 
       4.267334644197e-01      -3.409810553231e-02      -2.982142479775e+04      -2.997030785046e+04      -3.402158418778e-02      -2.994689219052e+04      -2.993813298402e+04       8.505396046946e-03       8.505396046946e-03      -5.542302098354e-06       3.537164170190e+00       3.537537765253e+00      -5.514918295641e-06       3.536095121707e+00 
       4.424969916679e-01      -3.228994106750e-02      -3.036661834713e+04      -3.051673848300e+04      -3.221747694974e-02      -3.049313001834e+04      -3.048420899902e+04       8.054369237436e-03       8.054369237436e-03      -5.248359471369e-06       3.601661353951e+00       3.602041008827e+00      -5.222427494659e-06       3.600572178489e+00 
       4.591795226666e-01      -3.054696072209e-02      -3.093574251789e+04      -3.108716911386e+04      -3.047840794133e-02      -3.106335689191e+04      -3.105426707485e+04       7.619601985333e-03       7.619601985333e-03      -4.965050899961e-06       3.669013607076e+00       3.669392964134e+00      -4.940518600918e-06       3.667897830793e+00 
       4.769136821339e-01      -2.880845727115e-02      -3.147062800134e+04      -3.162587385343e+04      -2.874380651206e-02      -3.160146315315e+04      -3.159221396767e+04       7.185951628016e-03       7.185951628016e-03      -4.682509875989e-06       3.732608273844e+00       3.733001099486e+00      -4.659374031756e-06       3.731478966203e+00 
       4.958674566998e-01      -2.711321226840e-02      -3.201947039717e+04      -3.217826603471e+04      -2.705236528538e-02      -3.215329914857e+04      -3.214388660248e+04       6.763091321345e-03       6.763091321345e-03      -4.406911304220e-06       3.797777219172e+00       3.798182018991e+00      -4.385136580164e-06       3.796632505101e+00 
       5.162577943657e-01      -2.549166390390e-02      -3.263176567888e+04      -3.279247819658e+04      -2.543445649748e-02      -3.276721156473e+04      -3.275761750327e+04       6.358614124370e-03       6.358614124370e-03      -4.143395877863e-06       3.870300837621e+00       3.870707840562e+00      -4.122923693478e-06       3.869129606806e+00 
       5.383713087812e-01      -2.388631813760e-02      -3.325228988900e+04      -3.341610438974e+04      -2.383271340320e-02      -3.339035183885e+04      -3.338057356796e+04       5.958178350801e-03       5.958178350801e-03      -3.882465358957e-06       3.943902633877e+00       3.944317567821e+00      -3.863282425383e-06       3.942709290745e+00 
       5.625969406954e-01      -2.229534917995e-02      -3.389361807699e+04      -3.406111845916e+04      -2.224531464256e-02      -3.403478825656e+04      -3.402481953908e+04       5.561328660640e-03       5.561328660640e-03      -3.623853388321e-06       4.019979542736e+00       4.020404700684e+00      -3.605948052127e-06       4.018765051009e+00 
       5.894796620785e-01      -2.073169562112e-02      -3.460040492546e+04      -3.477087453557e+04      -2.068517034087e-02      -3.474407923249e+04      -3.473390105978e+04       5.171292585218e-03       5.171292585218e-03      -3.369712730497e-06       4.103797017239e+00       4.104229439864e+00      -3.353063238327e-06       4.102555855108e+00 
       6.198131833099e-01      -1.915759665751e-02      -3.534863872543e+04      -3.552305659806e+04      -1.911460359220e-02      -3.549564241345e+04      -3.548524237217e+04       4.778650898050e-03       4.778650898050e-03      -3.113834759193e-06       4.192559656791e+00       4.193001777480e+00      -3.098449253543e-06       4.191291939918e+00 
       6.548094415264e-01      -1.756805780577e-02      -3.617954397390e+04      -3.635787657561e+04      -1.752863228888e-02      -3.632984879023e+04      -3.631920261562e+04       4.382158072221e-03       4.382158072221e-03      -2.855501047199e-06       4.291078733801e+00       4.291531514344e+00      -2.841392275962e-06       4.289781455602e+00 
       6.964300541578e-01      -1.593139591295e-02      -3.711219557218e+04      -3.729523209007e+04      -1.589564337395e-02      -3.726646677556e+04      -3.725554437557e+04       3.973910843488e-03       3.973910843488e-03      -2.589481713482e-06       4.401706897204e+00       4.402173445764e+00      -2.576687356745e-06       4.400377939182e+00 
       7.480862427015e-01      -1.421426395703e-02      -3.820641012367e+04      -3.839478212987e+04      -1.418236492737e-02      -3.836518014464e+04      -3.835393388495e+04       3.545591231843e-03       3.545591231843e-03      -2.310379305450e-06       4.531479612998e+00       4.531960681899e+00      -2.298963959458e-06       4.530112119200e+00 
       8.162360748659e-01      -1.235908217460e-02      -3.954817676899e+04      -3.974314372665e+04      -1.233134647081e-02      -3.971250734655e+04      -3.970086415570e+04       3.082836617703e-03       3.082836617703e-03      -2.008839099536e-06       4.690617103129e+00       4.691116403301e+00      -1.998913636441e-06       4.689202712064e+00 
       9.141587193507e-01      -1.029114543523e-02      -4.130624725338e+04      -4.150986097101e+04      -1.026805051392e-02      -4.147786807073e+04      -4.146570509846e+04       2.567012628479e-03       2.567012628479e-03      -1.672717810757e-06       4.899129514277e+00       4.899653277070e+00      -1.664453092636e-06       4.897654159631e+00 
       1.068968309574e+00      -7.973305213531e-03      -4.375996157403e+04      -4.397565888886e+04      -7.955411898629e-03      -4.394176980988e+04      -4.392888186015e+04       1.988852974657e-03       1.988852974657e-03      -1.295977317376e-06       5.190147348985e+00       5.190706654754e+00      -1.289574040018e-06       5.188588088623e+00 
