# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.652439709358e-10       7.655613856608e-15       2.359854831919e-13       0.000000000000e+00       8.505415834168e-11       8.857043017530e-12      -7.426109685423e-15 
   41       1.677364387071e-10       8.316626431087e-15       2.265291544396e-13       0.000000000000e+00       8.085024791201e-11       8.445655650040e-12      -6.837423546184e-15 
   42       1.702474301360e-10       9.013167290220e-15       2.156780650228e-13       0.000000000000e+00       7.692621995926e-11       8.062649532230e-12      -6.501773148681e-15 
   43       1.727664494195e-10       9.745730046213e-15       2.035139607429e-13       0.000000000000e+00       7.323972224073e-11       7.705365283972e-12      -6.532421413792e-15 
   44       1.752982572186e-10       1.051494625665e-14       1.899926706769e-13       0.000000000000e+00       6.978508910249e-11       7.372945052866e-12      -6.879171906703e-15 
   45       1.778506820209e-10       1.132146629944e-14       1.750270751607e-13       0.000000000000e+00       6.655881797673e-11       7.064093034092e-12      -7.428441069949e-15 
   46       1.804298386655e-10       1.216591328789e-14       1.585182892411e-13       0.000000000000e+00       6.354582966636e-11       6.776157559198e-12      -8.040521770354e-15 
   47       1.830399218812e-10       1.304888209875e-14       1.403548615662e-13       0.000000000000e+00       6.071856567460e-11       6.505029448050e-12      -8.548053245748e-15 
   48       1.856831701947e-10       1.397087190024e-14       1.204347284046e-13       0.000000000000e+00       5.804547441960e-11       6.246329463842e-12      -8.801764284825e-15 
   49       1.883602273686e-10       1.493206351352e-14       9.874026296797e-14       0.000000000000e+00       5.552140484708e-11       5.999603675226e-12      -8.826520617718e-15 
   50       1.910695281234e-10       1.593247762222e-14       7.528300517683e-14       0.000000000000e+00       5.314422951591e-11       5.765136072637e-12      -8.706636570749e-15 
   51       1.938069437601e-10       1.697203153565e-14       5.008310460885e-14       0.000000000000e+00       5.090579052334e-11       5.542727724485e-12      -8.543302520745e-15 
   52       1.965655843902e-10       1.805053482398e-14       2.316968036500e-14       0.000000000000e+00       4.879147585936e-11       5.331660899672e-12      -8.455466741395e-15 
   53       1.993384739555e-10       1.916779420284e-14      -5.432614907627e-15       0.000000000000e+00       4.678480713174e-11       5.131011174467e-12      -8.549481729860e-15 
   54       2.021278380857e-10       2.032396989762e-14      -3.574878746222e-14       0.000000000000e+00       4.488356289896e-11       4.940760560003e-12      -8.816849903001e-15 
   55       2.049378598621e-10       2.151930330846e-14      -6.781930372557e-14       0.000000000000e+00       4.308706298335e-11       4.760908078237e-12      -9.211720869549e-15 
   56       2.077719405028e-10       2.275401599298e-14      -1.016875253045e-13       0.000000000000e+00       4.139131128577e-11       4.591126024089e-12      -9.679407216372e-15 
   57       2.106326220449e-10       2.402830988213e-14      -1.373999275621e-13       0.000000000000e+00       3.978878226036e-11       4.430738678494e-12      -1.015595668944e-14 
   58       2.135215100272e-10       2.534236749613e-14      -1.750063181933e-13       0.000000000000e+00       3.826820738928e-11       4.278701021466e-12      -1.056772437476e-14 
   59       2.164395855348e-10       2.669623470229e-14      -2.145456532312e-13       0.000000000000e+00       3.681767713311e-11       4.133882735745e-12      -1.084886196339e-14 
   60       2.193884015563e-10       2.808943670388e-14      -2.559991421307e-13       0.000000000000e+00       3.543527294488e-11       3.996045582320e-12      -1.099950005451e-14 
   61       2.223690283025e-10       2.952127309550e-14      -2.993266192363e-13       0.000000000000e+00       3.412053133875e-11       3.865055782343e-12      -1.104034541888e-14 
   62       2.253816254633e-10       3.099092379121e-14      -3.444797246722e-13       0.000000000000e+00       3.287124643656e-11       3.740587968643e-12      -1.099612780411e-14 
   63       2.284253780891e-10       3.249744525876e-14      -3.914016346949e-13       0.000000000000e+00       3.168336883160e-11       3.622114247617e-12      -1.089577947447e-14 
   64       2.314984324719e-10       3.403976675388e-14      -4.400267920469e-13       0.000000000000e+00       3.055090445232e-11       3.508893261119e-12      -1.077261475060e-14 
   65       2.345988124796e-10       3.561681034058e-14      -4.902951332964e-13       0.000000000000e+00       2.946756866138e-11       3.400172948600e-12      -1.065701044813e-14 
   66       2.377275381374e-10       3.722788895410e-14      -5.421988786405e-13       0.000000000000e+00       2.843238288321e-11       3.295873312893e-12      -1.055224218134e-14 
   67       2.408860548411e-10       3.887238615829e-14      -5.957451986332e-13       0.000000000000e+00       2.744508595711e-11       3.196029126774e-12      -1.045383643008e-14 
   68       2.440752751755e-10       4.054963950083e-14      -6.509427249088e-13       0.000000000000e+00       2.650443242270e-11       3.100584124132e-12      -1.035658842068e-14 
