# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.653404136538e-10       7.720005384801e-15       2.357933014393e-13       6.485300939264e-17       8.505415834168e-11       8.857043017530e-12      -7.426109685423e-15 
   41       1.678369398001e-10       8.384213830357e-15       2.263229031408e-13       6.814159521141e-17       8.085024791201e-11       8.445655650040e-12      -6.837423546184e-15 
   42       1.703520341517e-10       9.084020944723e-15       2.154573732689e-13       7.151284828147e-17       7.692621995926e-11       8.062649532230e-12      -6.501773148681e-15 
   43       1.728751974656e-10       9.819919402610e-15       2.032785040192e-13       7.496680800624e-17       7.323972224073e-11       7.705365283972e-12      -6.532421413792e-15 
   44       1.754111877828e-10       1.059253971306e-14       1.897421765238e-13       7.850350466855e-17       6.978508910249e-11       7.372945052866e-12      -6.879171906703e-15 
   45       1.779678312270e-10       1.140253113214e-14       1.747613289871e-13       8.212296212506e-17       6.655881797673e-11       7.064093034092e-12      -7.428441069949e-15 
   46       1.805512403160e-10       1.225051559173e-14       1.582371403240e-13       8.582519885335e-17       6.354582966636e-11       6.776157559198e-12      -8.040521770354e-15 
   47       1.831656075015e-10       1.313708672647e-14       1.400582292549e-13       8.961022798154e-17       6.071856567460e-11       6.505029448050e-12      -8.548053245748e-15 
   48       1.858131692317e-10       1.406274236551e-14       1.201226081168e-13       9.347805455681e-17       5.804547441960e-11       6.246329463842e-12      -8.801764284825e-15 
   49       1.884945678992e-10       1.502766177538e-14       9.841273101505e-14       9.742866637146e-17       5.552140484708e-11       5.999603675226e-12      -8.826520617718e-15 
