# Matter power spectrum P(k) at redshift z=0
# for k=1.04595e-05 to 1.0871 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.345622125517e-02       2.375942369106e+04 
       1.358490390696e-02       2.379927359700e+04 
       1.371362284025e-02       2.383706976102e+04 
       1.384237816429e-02       2.387282696838e+04 
       1.397117001142e-02       2.390658583094e+04 
       1.409999853668e-02       2.393836432735e+04 
       1.422886391749e-02       2.396818012139e+04 
       1.435776635331e-02       2.399606746694e+04 
       1.448670606541e-02       2.402204604100e+04 
       1.461568329660e-02       2.404614506625e+04 
       1.474469831102e-02       2.406838403948e+04 
       1.487375139397e-02       2.408879548389e+04 
       1.500284285175e-02       2.410740598930e+04 
       1.513197301152e-02       2.412421395238e+04 
       1.526114222121e-02       2.413927142080e+04 
       1.539035084943e-02       2.415257805638e+04 
       1.551959928541e-02       2.416417598488e+04 
       1.564888793897e-02       2.417408215351e+04 
       1.577821724050e-02       2.418232661144e+04 
       1.590758764100e-02       2.418890521980e+04 
       1.603699961205e-02       2.419386532494e+04 
       1.616645364590e-02       2.419722780449e+04 
       1.629595025556e-02       2.419899685824e+04 
       1.642548997480e-02       2.419921745163e+04 
       1.655507335836e-02       2.419788471644e+04 
       1.668470098201e-02       2.419505471312e+04 
       1.681437344269e-02       2.419071115045e+04 
       1.694409135870e-02       2.418489996415e+04 
       1.707385536987e-02       2.417763057558e+04 
       1.720366613773e-02       2.416893050353e+04 
       1.733352434576e-02       2.415881254798e+04 
       1.746343069957e-02       2.414730274789e+04 
       1.759338592719e-02       2.413443126790e+04 
       1.772339077931e-02       2.412019468119e+04 
       1.785344602953e-02       2.410463479885e+04 
       1.798355247474e-02       2.408774935475e+04 
       1.811371093531e-02       2.406957959795e+04 
       1.824392225554e-02       2.405014298139e+04 
       1.837418730390e-02       2.402944080952e+04 
       1.850450697348e-02       2.400751576913e+04 
       1.863488218230e-02       2.398436481071e+04 
       1.876531387373e-02       2.396000448609e+04 
       1.889580301691e-02       2.393450918522e+04 
       1.902635060718e-02       2.390780610123e+04 
       1.915695766651e-02       2.387998101716e+04 
       1.928762524398e-02       2.385103272796e+04 
       1.941835441625e-02       2.382098084044e+04 
       1.954914628806e-02       2.378985675317e+04 
       1.968000199278e-02       2.375766368664e+04 
       1.981092269291e-02       2.372439747361e+04 
       1.994190958066e-02       2.369008982835e+04 
       2.007296387851e-02       2.365477894646e+04 
       2.020408683982e-02       2.361847477185e+04 
       2.033527974945e-02       2.358118454599e+04 
       2.046654392440e-02       2.354292506719e+04 
       2.059788071445e-02       2.350372956343e+04 
       2.072929150284e-02       2.346360324637e+04 
