# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.653402212030e-10       7.719411597267e-15       2.357902486320e-13       6.485470502216e-17       8.505004761343e-11       8.856990275517e-12      -7.425910940752e-15 
   41       1.678367812730e-10       8.383575203883e-15       2.263206234333e-13       6.814337598268e-17       8.084633788077e-11       8.445644153390e-12      -6.837220922316e-15 
   42       1.703519108257e-10       9.083336119686e-15       2.154558815557e-13       7.151471607958e-17       7.692249779139e-11       8.062676650711e-12      -6.501558745320e-15 
   43       1.728750836195e-10       9.819187285167e-15       2.032777898012e-13       7.496876470731e-17       7.323617813470e-11       7.705425694931e-12      -6.532198441592e-15 
   44       1.754110545552e-10       1.059176001077e-14       1.897422469917e-13       7.850555216537e-17       6.978171351457e-11       7.373033294204e-12      -6.878946102194e-15 
   45       1.779676541246e-10       1.140170461709e-14       1.747622257520e-13       8.212510234013e-17       6.655560117438e-11       7.064204397201e-12      -7.428218260874e-15 
   46       1.805510005296e-10       1.224964426475e-14       1.582389463325e-13       8.582743374726e-17       6.354276219388e-11       6.776288358856e-12      -8.040307785122e-15 
   47       1.831652933038e-10       1.313617398970e-14       1.400610761028e-13       8.961255956191e-17       6.071563885677e-11       6.505177309770e-12      -8.547853816038e-15 
   48       1.858127763053e-10       1.406179281485e-14       1.201266656401e-13       9.348048488756e-17       5.804268056627e-11       6.246493224237e-12      -8.801584811771e-15 
   49       1.884940959108e-10       1.502667970663e-14       9.841813686879e-14       9.743119758201e-17       5.551873637263e-11       5.999781951658e-12      -8.826365499273e-15 
   50       1.912076892101e-10       1.603085280583e-14       7.494705779976e-14       1.014646748971e-16       5.314167890322e-11       5.765326818468e-12      -8.706508832422e-15 
   51       1.939494305800e-10       1.707422656581e-14       4.973360217492e-14       1.055808859061e-16       5.090335061827e-11       5.542928152918e-12      -8.543203552006e-15 
   52       1.967124339472e-10       1.815660737332e-14       2.280690899145e-14       1.097797913930e-16       4.878914018610e-11       5.331867404416e-12      -8.455396018633e-15 
   53       1.994897264050e-10       1.927779871105e-14      -5.808332483861e-15       1.140613433972e-16       4.678257002029e-11       5.131219454983e-12      -8.549436929985e-15 
   54       2.022835313645e-10       2.043795847301e-14      -3.613700506205e-14       1.184254839644e-16       4.488141894492e-11       4.940966429532e-12      -8.816828337889e-15 
   55       2.050980278716e-10       2.163732589796e-14      -6.821941757468e-14       1.228721458815e-16       4.308500703994e-11       4.761107759077e-12      -9.211719915846e-15 
   56       2.079366125947e-10       2.287612027904e-14      -1.020987590958e-13       1.274012528710e-16       4.138933866120e-11       4.591316255902e-12      -9.679424374346e-15 
   57       2.108018224789e-10       2.415454117757e-14      -1.378213169655e-13       1.320127194650e-16       3.978688892718e-11       4.430916832142e-12      -1.015598964532e-14 
   58       2.136952574019e-10       2.547276863675e-14      -1.754366948131e-13       1.367064508809e-16       3.826639020581e-11       4.278865218379e-12      -1.056777106660e-14 
   59       2.166178930297e-10       2.683084597395e-14      -2.149836525554e-13       1.414823492090e-16       3.681593382868e-11       4.134031921881e-12      -1.084892056296e-14 
   60       2.195712798942e-10       2.822829588663e-14      -2.564432912180e-13       1.463403339411e-16       3.543360130514e-11       3.996179441017e-12      -1.099956866698e-14 
   61       2.225564865764e-10       2.966441541414e-14      -2.997753622396e-13       1.512803259963e-16       3.411892902608e-11       3.865174780571e-12      -1.104042200519e-14 
   62       2.255736711792e-10       3.113838183080e-14      -3.449314257184e-13       1.563022419140e-16       3.286971104598e-11       3.740693454646e-12      -1.099621018560e-14 
   63       2.286220172107e-10       3.264924887935e-14      -3.918545810450e-13       1.614059939428e-16       3.168189795022e-11       3.622208552358e-12      -1.089586533796e-14 
   64       2.316996694655e-10       3.419594300426e-14      -4.404791975349e-13       1.665914901286e-16       3.054949572249e-11       3.508979803536e-12      -1.077270165401e-14 
   65       2.348046495871e-10       3.577738353009e-14      -4.907451270338e-13       1.718586475345e-16       2.946621980828e-11       3.400256018812e-12      -1.065709577352e-14 
   66       2.379379721403e-10       3.739288123932e-14      -5.426444452595e-13       1.772074349522e-16       2.843109161888e-11       3.295956801461e-12      -1.055232291593e-14 
   67       2.411010758021e-10       3.904181772266e-14      -5.961841571973e-13       1.826378394210e-16       2.744384998825e-11       3.196116090846e-12      -1.045390908370e-14 
   68       2.442948658863e-10       4.072352858839e-14      -6.513727217938e-13       1.881498543439e-16       2.650324949786e-11       3.100676654533e-12      -1.035664899218e-14 
   69       2.475196776287e-10       4.243730316278e-14      -7.082201876805e-13       1.937434799433e-16       2.560700844049e-11       3.009485122505e-12      -1.025457584334e-14 
   70       2.507752394735e-10       4.418238419042e-14      -7.667383288962e-13       1.994187237172e-16       2.475175678396e-11       2.922287021369e-12      -1.014093109949e-14 
