# Matter power spectrum P(k) at redshift z=0
# for k=1.04588e-05 to 1.08705 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.345561115874e-02       2.374979713007e+04 
       1.358428938475e-02       2.378932883992e+04 
       1.371300389177e-02       2.382681751993e+04 
       1.384175478902e-02       2.386227687109e+04 
       1.397054220877e-02       2.389574275393e+04 
       1.409936630601e-02       2.392724632672e+04 
       1.422822725810e-02       2.395680487024e+04 
       1.435712526446e-02       2.398443711861e+04 
       1.448606054628e-02       2.401017991799e+04 
       1.461503334634e-02       2.403404345785e+04 
       1.474404392871e-02       2.405607583419e+04 
       1.487309257866e-02       2.407627133618e+04 
       1.500217960241e-02       2.409467272349e+04 
       1.513130532708e-02       2.411130072785e+04 
       1.526047010054e-02       2.412617566197e+04 
       1.538967429135e-02       2.413932536958e+04 
       1.551891828869e-02       2.415076307169e+04 
       1.564820250232e-02       2.416052948855e+04 
       1.577752736258e-02       2.416862484805e+04 
       1.590689332041e-02       2.417508337530e+04 
       1.603630084735e-02       2.417992106817e+04 
       1.616575043559e-02       2.418316943563e+04 
       1.629524259806e-02       2.418483698114e+04 
       1.642477786850e-02       2.418495865681e+04 
       1.655435680159e-02       2.418354177079e+04 
       1.668397997304e-02       2.418061230055e+04 
       1.681364797972e-02       2.417619660415e+04 
       1.694336143990e-02       2.417030981988e+04 
       1.707312099333e-02       2.416295884040e+04 
       1.720292730149e-02       2.415419226262e+04 
       1.733278104779e-02       2.414400243608e+04 
       1.746268293778e-02       2.413243683882e+04 
       1.759263369944e-02       2.411949579262e+04 
       1.772263408338e-02       2.410519346551e+04 
       1.785268486317e-02       2.408958195091e+04 
       1.798278683559e-02       2.407261675666e+04 
       1.811294082098e-02       2.405438760876e+04 
       1.824314766355e-02       2.403487713363e+04 
       1.837340823173e-02       2.401412732378e+04 
       1.850372341851e-02       2.399210571228e+04 
       1.863409414186e-02       2.396891292035e+04 
       1.876452134508e-02       2.394447707159e+04 
       1.889500599723e-02       2.391887714314e+04 
       1.902554909359e-02       2.389210216128e+04 
       1.915615165603e-02       2.386421981009e+04 
       1.928681473357e-02       2.383520989970e+04 
       1.941753940280e-02       2.380509300139e+04 
       1.954832676837e-02       2.377385495554e+04 
       1.967917796358e-02       2.374157549540e+04 
       1.981009415084e-02       2.370824041616e+04 
       1.994107652227e-02       2.367388629351e+04 
       2.007212630029e-02       2.363850377450e+04 
