# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.657552126668e-10       7.750460621453e-15       2.349139016778e-13       0.000000000000e+00       8.236231217879e-11       8.896023284696e-12      -7.054420899439e-15 
   41       1.682315417016e-10       8.419490760699e-15       2.251919799241e-13       0.000000000000e+00       7.826902617285e-11       8.511100842971e-12      -6.450851155104e-15 
   42       1.707354908371e-10       9.124389324628e-15       2.140727023243e-13       0.000000000000e+00       7.444957003603e-11       8.151150735205e-12      -6.115909287787e-15 
   43       1.732714858494e-10       9.865541714641e-15       2.016402659005e-13       0.000000000000e+00       7.086248756867e-11       7.808221535388e-12      -6.161563599521e-15 
   44       1.758421292514e-10       1.064354898327e-14       1.878491656614e-13       0.000000000000e+00       6.750213536467e-11       7.481747301750e-12      -6.536053351388e-15 
   45       1.784470839261e-10       1.145905298311e-14       1.726093899107e-13       0.000000000000e+00       6.436498719713e-11       7.172658673471e-12      -7.123764118389e-15 
   46       1.810824527557e-10       1.231266907715e-14       1.558184257112e-13       0.000000000000e+00       6.143622456301e-11       6.881092346364e-12      -7.782395212775e-15 
   47       1.837404646001e-10       1.320498528407e-14       1.373604117994e-13       0.000000000000e+00       5.868885691410e-11       6.606323076744e-12      -8.341395737889e-15 
   48       1.864127284923e-10       1.413650661867e-14       1.171277180312e-13       0.000000000000e+00       5.609200773905e-11       6.347143198490e-12      -8.647561784331e-15 
   49       1.891018136754e-10       1.510747155427e-14       9.509485340122e-14       0.000000000000e+00       5.364058763097e-11       6.103286337543e-12      -8.720676291491e-15 
   50       1.918123943119e-10       1.611798235481e-14       7.126393640084e-14       0.000000000000e+00       5.133247415238e-11       5.874288200108e-12      -8.639055122155e-15 
   51       1.945478375456e-10       1.716805180168e-14       4.564437727962e-14       0.000000000000e+00       4.915967429924e-11       5.659030046796e-12      -8.497037940927e-15 
   52       1.973100715319e-10       1.825759954282e-14       1.825317517045e-14       0.000000000000e+00       4.710791237748e-11       5.455693528797e-12      -8.405830448806e-15 
   53       2.001000292697e-10       1.938652505838e-14      -1.089407704663e-14       0.000000000000e+00       4.516109856623e-11       5.262286524013e-12      -8.466097351034e-15 
   54       2.029194178636e-10       2.055495698893e-14      -4.181357761452e-14       0.000000000000e+00       4.331703226956e-11       5.078483350440e-12      -8.675528710946e-15 
   55       2.057691742107e-10       2.176306155730e-14      -7.453022643440e-14       0.000000000000e+00       4.157501849705e-11       4.904179036425e-12      -8.998972838800e-15 
   56       2.086488236214e-10       2.301097113537e-14      -1.090691071137e-13       0.000000000000e+00       3.993113781601e-11       4.738938995448e-12      -9.394270540114e-15 
   57       2.115563719922e-10       2.429878380570e-14      -1.454555794537e-13       0.000000000000e+00       3.837803886897e-11       4.581977803605e-12      -9.811912894616e-15 
   58       2.144881979788e-10       2.562656292303e-14      -1.837153719364e-13       0.000000000000e+00       3.690473089104e-11       4.432137977078e-12      -1.019469903519e-14 
   59       2.174406603451e-10       2.699423967974e-14      -2.238666467696e-13       0.000000000000e+00       3.549960174488e-11       4.288230377457e-12      -1.049043102923e-14 
   60       2.204156007977e-10       2.840129537469e-14      -2.658938331110e-13       0.000000000000e+00       3.416076170737e-11       4.150195941334e-12      -1.069421845013e-14 
   61       2.234159307758e-10       2.984700445175e-14      -3.097678697985e-13       0.000000000000e+00       3.288773939130e-11       4.018176710582e-12      -1.081541081958e-14 
   62       2.264439799651e-10       3.133052135792e-14      -3.554535225359e-13       0.000000000000e+00       3.167837129698e-11       3.892169144765e-12      -1.086552199436e-14 
   63       2.295014466126e-10       3.285087681694e-14      -4.029092042638e-13       0.000000000000e+00       3.052870366926e-11       3.772015157184e-12      -1.085832988095e-14 
   64       2.325893478411e-10       3.440697410280e-14      -4.520867955303e-13       0.000000000000e+00       2.943289435449e-11       3.657393150923e-12      -1.080997615017e-14 
   65       2.357082847946e-10       3.599771426423e-14      -5.029416650988e-13       0.000000000000e+00       2.838482061709e-11       3.547919552189e-12      -1.073594633783e-14 
   66       2.388594149429e-10       3.762241099268e-14      -5.554656018594e-13       0.000000000000e+00       2.738351880365e-11       3.443498537562e-12      -1.064104281247e-14 
   67       2.420435974854e-10       3.928045721444e-14      -6.096605568293e-13       0.000000000000e+00       2.642872466982e-11       3.344030567880e-12      -1.052746023033e-14 
   68       2.452610565748e-10       4.097120377546e-14      -6.655291620492e-13       0.000000000000e+00       2.551921959304e-11       3.249302663111e-12      -1.039772998884e-14 
   69       2.485113404383e-10       4.269395932189e-14      -7.230748362743e-13       0.000000000000e+00       2.465278014871e-11       3.158982529235e-12      -1.025473267933e-14 
   70       2.517932804985e-10       4.444799018073e-14      -7.823018906671e-13       0.000000000000e+00       2.382612768632e-11       3.072612685124e-12      -1.010171053972e-14 
   71       2.551049504943e-10       4.623252024033e-14      -8.432156344886e-13       0.000000000000e+00       2.303487790559e-11       2.989604589418e-12      -9.942279907214e-15 
   72       2.584444749902e-10       4.804667992809e-14      -9.058150584125e-13       0.000000000000e+00       2.227466634320e-11       2.909388470531e-12      -9.779935649235e-15 
   73       2.618127254151e-10       4.988934207020e-14      -9.700690236633e-13       0.000000000000e+00       2.154488699436e-11       2.831909163610e-12      -9.616426657099e-15 
   74       2.652110700626e-10       5.175925416271e-14      -1.035935672107e-12       0.000000000000e+00       2.084558353684e-11       2.757215278934e-12      -9.453089580584e-15 
   75       2.686405494347e-10       5.365508522300e-14      -1.103369380977e-12       0.000000000000e+00       2.017631382982e-11       2.685309652965e-12      -9.291330060216e-15 
   76       2.721018547554e-10       5.557542450829e-14      -1.172320699111e-12       0.000000000000e+00       1.953612633728e-11       2.616147030091e-12      -9.132623581302e-15 
   77       2.755953064840e-10       5.751878023396e-14      -1.242736283177e-12       0.000000000000e+00       1.892353655142e-11       2.549631744374e-12      -8.978516327943e-15 
   78       2.791208328284e-10       5.948357829206e-14      -1.314558833904e-12       0.000000000000e+00       1.833650341610e-11       2.485615401289e-12      -8.830626037071e-15 
   79       2.826779482586e-10       6.146816096966e-14      -1.387727032320e-12       0.000000000000e+00       1.777240575021e-11       2.423894559476e-12      -8.690642852463e-15 
   80       2.862661246889e-10       6.347084664684e-14      -1.462180274315e-12       0.000000000000e+00       1.722869209557e-11       2.364265287170e-12      -8.559970456476e-15 
   81       2.898860265311e-10       6.549012364969e-14      -1.537873961560e-12       0.000000000000e+00       1.670501209852e-11       2.306702842948e-12      -8.438575812722e-15 
   82       2.935384519084e-10       6.752448788104e-14      -1.614766762126e-12       0.000000000000e+00       1.620141397047e-11       2.251209113509e-12      -8.325940286495e-15 
   83       2.972239450410e-10       6.957238468114e-14      -1.692816072708e-12       0.000000000000e+00       1.571769300534e-11       2.197757265034e-12      -8.221395906523e-15 
   84       3.009427820316e-10       7.163220867526e-14      -1.771978043716e-12       0.000000000000e+00       1.525338047383e-11       2.146290478169e-12      -8.124119557471e-15 
   85       3.046949566499e-10       7.370230362144e-14      -1.852207604364e-12       0.000000000000e+00       1.480773251767e-11       2.096720683000e-12      -8.033127172446e-15 
