# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.079580268505e+24       7.741726443868e-15      -2.585031033601e-07       0.000000000000e+00      9.520371057726e+183      -2.598444623472e+23      -1.496084244750e-07 
   41       1.613665046681e+24       8.410009545335e-15      -6.432185215516e-08       0.000000000000e+00      9.245006669527e+183      -2.132683247937e+24      -6.635456902041e-07 
   42       2.159722610909e+24       9.114137890862e-15       9.014199691139e-08       0.000000000000e+00      8.980922846497e+183      -3.423292258531e+24      -9.992095327508e-07 
   43       2.566769060177e+24       9.854499566118e-15       1.267100597319e-07       0.000000000000e+00      8.726306669220e+183      -3.322185645854e+24      -9.999240053143e-07 
   44       2.802761058640e+24       1.063170190280e-14       5.724177314894e-08       0.000000000000e+00      8.481351094112e+183      -1.986220982557e+24      -6.988225300788e-07 
   45       2.871395777301e+24       1.144639483198e-14      -7.475629107039e-08       0.000000000000e+00      8.246309774185e+183       8.299943862429e+22      -1.979435102225e-07 
   46       2.780524233688e+24       1.229920294222e-14      -2.160769183989e-07       0.000000000000e+00      8.020717332000e+183       2.272476502129e+24       3.770796538633e-07 
   47       2.542443495002e+24       1.319072467891e-14      -3.032490945629e-07       0.000000000000e+00      7.803329470729e+183       3.851360199912e+24       8.756378869340e-07 
   48       2.181583436216e+24       1.412146921896e-14      -2.810103745771e-07       0.000000000000e+00      7.592627658688e+183       4.166401213010e+24       1.160232416541e-06 
   49       1.759447459713e+24       1.509164792127e-14      -1.651954791626e-07       0.000000000000e+00      7.388641151942e+183       3.308515679314e+24       1.236649613026e-06 
   50       1.357204296924e+24       1.610132271306e-14       3.392343319392e-09       0.000000000000e+00      7.191535681649e+183       1.623028055704e+24       1.158108683784e-06 
   51       1.069560278987e+24       1.715045939925e-14       1.760710657475e-07       0.000000000000e+00      7.001063403981e+183      -4.720768886051e+23       9.896161528864e-07 
   52       1.005428813109e+24       1.823892368201e-14       2.958718389191e-07       0.000000000000e+00      6.816531815958e+183      -2.482306832985e+24       8.085987883103e-07 
   53       1.259439239731e+24       1.936657346506e-14       3.140518046436e-07       0.000000000000e+00      6.637107181634e+183      -3.954426716002e+24       6.851245684669e-07 
   54       1.816321245534e+24       2.053357279487e-14       2.455568047305e-07       0.000000000000e+00      6.462887963243e+183      -4.874160716997e+24       6.151376260294e-07 
   55       2.623100386860e+24       2.174015170982e-14       1.271093502385e-07       0.000000000000e+00      6.294053239946e+183      -5.364051310234e+24       5.711582485337e-07 
   56       3.615565849717e+24       2.298651707676e-14       1.830763885080e-09       0.000000000000e+00      6.130535683687e+183      -5.572022329877e+24       5.209741859120e-07 
   57       4.717717258666e+24       2.427285264769e-14      -8.045739340425e-08       0.000000000000e+00      5.972004500618e+183      -5.672630768640e+24       4.274177303056e-07 
   58       5.841211485707e+24       2.559931911634e-14      -6.293189594614e-08       0.000000000000e+00      5.817848372523e+183      -5.868318576426e+24       2.481427958778e-07 
   59       6.887008249068e+24       2.696592675262e-14       1.010710949634e-07       0.000000000000e+00      5.667395989430e+183      -6.325844058500e+24      -5.075127511855e-08 
   60       7.752009573795e+24       2.837211863778e-14       3.912344354067e-07       0.000000000000e+00      5.520676196093e+183      -6.965494058993e+24      -4.496474093552e-07 
   61       8.322987265312e+24       2.981709057211e-14       7.643952056353e-07       0.000000000000e+00      5.377804539281e+183      -7.625045951269e+24      -9.103913524186e-07 
   62       8.474050807411e+24       3.129990581139e-14       1.170562367078e-06       0.000000000000e+00      5.238752377128e+183      -8.119357797004e+24      -1.388976642627e-06 
   63       8.066168706380e+24       3.281949080413e-14       1.552626240473e-06       0.000000000000e+00      5.103337874508e+183      -8.239422843120e+24      -1.835298150664e-06 
   64       6.946689835147e+24       3.437463092874e-14       1.846067984004e-06       0.000000000000e+00      4.971216998389e+183      -7.751424018720e+24      -2.192905619221e-06 
   65       5.041223044854e+24       3.596412429228e-14       1.994139785447e-06       0.000000000000e+00      4.842015393534e+183      -6.481952104973e+24      -2.412823553517e-06 
   66       2.652967654046e+24       3.758729055951e-14       1.997794658125e-06       0.000000000000e+00      4.715776697106e+183      -4.596760770381e+24      -2.498966299998e-06 
   67       2.261076419421e+23       3.924356258327e-14       1.875842820820e-06       0.000000000000e+00      4.592593353256e+183      -2.379531285695e+24      -2.471928943402e-06 
   68      -1.738887413526e+24       4.093233800730e-14       1.650553615709e-06       0.000000000000e+00      4.472469141390e+183      -1.523553918063e+23      -2.355913908243e-06 
   69      -2.683157543540e+24       4.265297942472e-14       1.347797733740e-06       0.000000000000e+00      4.355314112235e+183       1.722800030645e+24      -2.178877962805e-06 
   70      -1.987347596219e+24       4.440481453654e-14       9.971894400143e-07       0.000000000000e+00      4.240939523918e+183       2.842628291667e+24      -1.972679223141e-06 
   71       1.030497555567e+24       4.618713631019e-14       6.322287991627e-07       0.000000000000e+00      4.129052778036e+183       2.761018222312e+24      -1.773224157070e-06 
   72       6.892163797708e+24       4.799913754665e-14       2.852530222683e-07       0.000000000000e+00      4.019357005180e+183       1.112757185647e+24      -1.609962578844e-06 
   73       1.523677853913e+25       4.983969968909e-14      -2.914747166866e-08       0.000000000000e+00      3.911883204813e+183      -1.984615510991e+24      -1.471711511974e-06 
   74       2.540777617718e+25       5.170756357374e-14      -3.004862008825e-07       0.000000000000e+00      3.806713005148e+183      -6.257814037784e+24      -1.334506334695e-06 
   75       3.666250649369e+25       5.360139011320e-14      -5.174484866908e-07       0.000000000000e+00      3.703877033419e+183      -1.139476980846e+25      -1.171576978253e-06 
   76       4.816920533738e+25       5.551975895735e-14      -6.678677413231e-07       0.000000000000e+00      3.603352241213e+183      -1.704323844030e+25      -9.532517343517e-07 
   77       5.900396530621e+25       5.746116715439e-14      -7.387017557488e-07       0.000000000000e+00      3.505059229796e+183      -2.280940671414e+25      -6.468610625818e-07 
   78       6.814770642982e+25       5.942402781178e-14      -7.160089875060e-07       0.000000000000e+00      3.408859575444e+183      -2.825649953437e+25      -2.166413978623e-07 
   79       7.448314685192e+25       6.140666875728e-14      -5.849248485294e-07       0.000000000000e+00      3.314553154770e+183      -3.290338688892e+25       3.763610421244e-07 
   80       7.708540480818e+25       6.340739529766e-14      -3.355096728043e-07       0.000000000000e+00      3.221945628733e+183      -3.631948436087e+25       1.159747365451e-06 
   81       7.615858945450e+25       6.542469399265e-14       1.848562036462e-08       0.000000000000e+00      3.131070275730e+183      -3.843149945342e+25       2.103017129567e-06 
   82       7.225709554358e+25       6.745706199092e-14       4.551542593966e-07       0.000000000000e+00      3.041999981087e+183      -3.926766308454e+25       3.156336114212e-06 
   83       6.600879011231e+25       6.950294592582e-14       9.499321303689e-07       0.000000000000e+00      2.954779145921e+183      -3.886655172617e+25       4.264282104381e-06 
   84       5.811742078070e+25       7.156074176334e-14       1.475512754377e-06       0.000000000000e+00      2.869422311703e+183      -3.727747757817e+25       5.365669988733e-06 
   85       4.936502405093e+25       7.362879465013e-14       2.001762264896e-06       0.000000000000e+00      2.785912784821e+183      -3.456087874224e+25       6.393376858013e-06 
   86       4.061433360624e+25       7.570539876143e-14       2.495634385138e-06       0.000000000000e+00      2.704201261148e+183      -3.078870939581e+25       7.274167103460e-06 
