# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.658479709488e-10       7.812293909069e-15       2.347271758937e-13       6.227692519893e-17       8.236231217879e-11       8.896023284696e-12      -7.054420899439e-15 
   41       1.683281986151e-10       8.484392673501e-15       2.249916121604e-13       6.543514258796e-17       7.826902617285e-11       8.511100842971e-12      -6.450851155104e-15 
   42       1.708360884517e-10       9.192427297188e-15       2.138583390040e-13       6.867277572730e-17       7.444957003603e-11       8.151150735205e-12      -6.115909287787e-15 
   43       1.733760628424e-10       9.936782249550e-15       2.014115992888e-13       7.198986205617e-17       7.086248756867e-11       7.808221535388e-12      -6.161563599521e-15 
   44       1.759507217404e-10       1.071805754484e-14       1.876059392802e-13       7.538642803528e-17       6.750213536467e-11       7.481747301750e-12      -6.536053351388e-15 
   45       1.785597257321e-10       1.153689392521e-14       1.723514041743e-13       7.886249273568e-17       6.436498719713e-11       7.172658673471e-12      -7.123764118389e-15 
   46       1.811991754487e-10       1.239390558334e-14       1.555455437695e-13       8.241806919738e-17       6.143622456301e-11       6.881092346364e-12      -7.782395212775e-15 
   47       1.838612975476e-10       1.328967930666e-14       1.370725655800e-13       8.605316441047e-17       5.868885691410e-11       6.606323076744e-12      -8.341395737889e-15 
   48       1.865376990634e-10       1.422471878498e-14       1.168249140409e-13       8.976777673822e-17       5.609200773905e-11       6.347143198490e-12      -8.647561784331e-15 
   49       1.892309479559e-10       1.519926096641e-14       9.477717726448e-14       9.356188737157e-17       5.364058763097e-11       6.103286337543e-12      -8.720676291491e-15 
   50       1.919457174568e-10       1.621340646403e-14       7.093155864631e-14       9.743546643332e-17       5.133247415238e-11       5.874288200108e-12      -8.639055122155e-15 
   51       1.946853740012e-10       1.726716630892e-14       4.529755970568e-14       1.013884751800e-16       4.915967429924e-11       5.659030046796e-12      -8.497037940927e-15 
   52       1.974518452677e-10       1.836045829658e-14       1.789227738661e-14       1.054208658527e-16       4.710791237748e-11       5.455693528797e-12      -8.405830448806e-15 
