# Matter power spectrum P(k) at redshift z=0
# for k=1.04595e-05 to 1.0871 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.345622125517e-02       2.424098056948e+04 
       1.358490390696e-02       2.429691929704e+04 
       1.371362284025e-02       2.435119460636e+04 
       1.384237816429e-02       2.440383037746e+04 
       1.397117001142e-02       2.445487920001e+04 
       1.409999853668e-02       2.450437122532e+04 
       1.422886391749e-02       2.455233410934e+04 
       1.435776635331e-02       2.459881856006e+04 
       1.448670606541e-02       2.464385500322e+04 
       1.461568329660e-02       2.468748731219e+04 
       1.474469831102e-02       2.472974759652e+04 
       1.487375139397e-02       2.477068577796e+04 
       1.500284285175e-02       2.481034158639e+04 
       1.513197301152e-02       2.484872967402e+04 
       1.526114222121e-02       2.488591997346e+04 
       1.539035084943e-02       2.492192736410e+04 
       1.551959928541e-02       2.495681225012e+04 
       1.564888793897e-02       2.499061168736e+04 
       1.577821724050e-02       2.502337682290e+04 
       1.590758764100e-02       2.505511944313e+04 
       1.603699961205e-02       2.508591028214e+04 
       1.616645364590e-02       2.511579068855e+04 
       1.629595025556e-02       2.514478618366e+04 
       1.642548997480e-02       2.517296357305e+04 
       1.655507335836e-02       2.520034602880e+04 
       1.668470098201e-02       2.522700797613e+04 
       1.681437344269e-02       2.525295953839e+04 
       1.694409135870e-02       2.527827397228e+04 
       1.707385536987e-02       2.530298358293e+04 
       1.720366613773e-02       2.532714571980e+04 
       1.733352434576e-02       2.535080722521e+04 
       1.746343069957e-02       2.537401428086e+04 
       1.759338592719e-02       2.539683018782e+04 
       1.772339077931e-02       2.541929061217e+04 
       1.785344602953e-02       2.544146410832e+04 
       1.798355247474e-02       2.546338524139e+04 
       1.811371093531e-02       2.548513472246e+04 
       1.824392225554e-02       2.550675342930e+04 
       1.837418730390e-02       2.552828981504e+04 
       1.850450697348e-02       2.554983594136e+04 
       1.863488218230e-02       2.557138550948e+04 
       1.876531387373e-02       2.559303666348e+04 
       1.889580301691e-02       2.561490416513e+04 
       1.902635060718e-02       2.563692413764e+04 
       1.915695766651e-02       2.565926390589e+04 
       1.928762524398e-02       2.568195284535e+04 
       1.941835441625e-02       2.570507013505e+04 
       1.954914628806e-02       2.572869395453e+04 
       1.968000199278e-02       2.575285489466e+04 
       1.981092269291e-02       2.577763592185e+04 
       1.994190958066e-02       2.580313507511e+04 
       2.007296387851e-02       2.582941661322e+04 
       2.020408683982e-02       2.585655423916e+04 
       2.033527974945e-02       2.588464484196e+04 
       2.046654392440e-02       2.591376689734e+04 
       2.059788071445e-02       2.594400064926e+04 
       2.072929150284e-02       2.597543376636e+04 
       2.086077770702e-02       2.600814569295e+04 
       2.099234077932e-02       2.604227760173e+04 
       2.112398220773e-02       2.607787504299e+04 
       2.125570351667e-02       2.611502758332e+04 
       2.138750626779e-02       2.615392077433e+04 
       2.151939206078e-02       2.619462787549e+04 
       2.165136253423e-02       2.623725097815e+04 
       2.178341936652e-02       2.628188359165e+04 
       2.191556427671e-02       2.632865216047e+04 
       2.204779902545e-02       2.637774051162e+04 
       2.218012541601e-02       2.642926646059e+04 
       2.231254529519e-02       2.648331678928e+04 
       2.244506055440e-02       2.653995744812e+04 
       2.257767313070e-02       2.659949899462e+04 
       2.271038500787e-02       2.666198841126e+04 
       2.284319821757e-02       2.672755735381e+04 
       2.297611484045e-02       2.679649413085e+04 
       2.310913700739e-02       2.686876680712e+04 
       2.324226690070e-02       2.694469765555e+04 
       2.337550675540e-02       2.702443177013e+04 
       2.350885886054e-02       2.710814114846e+04 
       2.364232556053e-02       2.719596258401e+04 
       2.377590925655e-02       2.728814210155e+04 
       2.390961240799e-02       2.738491212497e+04 
       2.404343753394e-02       2.748644209899e+04 
       2.417738721468e-02       2.759294156277e+04 
       2.431146409334e-02       2.770465345849e+04 
       2.444567087745e-02       2.782189349218e+04 
       2.458001034068e-02       2.794473553744e+04 
       2.471448532458e-02       2.807365267859e+04 
       2.484909874034e-02       2.820879046124e+04 
       2.498385357067e-02       2.835044274390e+04 
       2.511875287175e-02       2.849894808256e+04 
       2.525379977515e-02       2.865461408866e+04 
       2.538899748993e-02       2.881765840164e+04 
       2.552434930472e-02       2.898860856477e+04 
       2.565985858994e-02       2.916770223011e+04 
       2.579552880006e-02       2.935532952328e+04 
       2.593136347591e-02       2.955183479951e+04 
       2.606736624713e-02       2.975773084896e+04 
       2.620354083468e-02       2.997332463316e+04 
       2.633989105340e-02       3.019921788029e+04 
       2.647642081473e-02       3.043570673409e+04 
       2.661313412944e-02       3.068347815607e+04 
       2.675003511058e-02       3.094281879772e+04 
       2.688712797636e-02       3.121445870146e+04 
       2.702441705333e-02       3.149887198266e+04 
       2.716190677952e-02       3.179669129159e+04 
       2.729960170775e-02       3.210853640293e+04 
       2.743750650911e-02       3.243499128135e+04 
       2.757562597648e-02       3.277701715167e+04 
       2.771396502822e-02       3.313506211699e+04 
       2.785252871204e-02       3.351005666812e+04 
       2.799132220894e-02       3.390287216250e+04 
       2.813035083738e-02       3.431414649007e+04 
       2.826962005749e-02       3.474494224341e+04 
       2.840913547559e-02       3.519627323658e+04 
       2.854890284881e-02       3.566899204019e+04 
       2.868892808984e-02       3.616428999433e+04 
       2.882921727198e-02       3.668331743946e+04 
       2.896977663430e-02       3.722721015423e+04 
       2.911061258706e-02       3.779732557806e+04 
       2.925173171731e-02       3.839495903725e+04 
       2.939314079477e-02       3.902151474447e+04 
       2.953484677786e-02       3.967854951238e+04 
       2.967685682010e-02       4.036766027039e+04 
       2.981917827669e-02       4.109056462925e+04 
       2.996181871138e-02       4.184914092063e+04 
       3.010478590365e-02       4.264525413592e+04 
       3.024808785622e-02       4.348090007004e+04 
       3.039173280281e-02       4.435838822098e+04 
       3.053572921631e-02       4.528007737512e+04 
       3.068008581728e-02       4.624832158700e+04 
       3.082481158283e-02       4.726569806368e+04 
       3.096991575588e-02       4.833520704582e+04 
       3.111540785488e-02       4.945982618588e+04 
       3.126129768393e-02       5.064265765975e+04 
       3.140759534336e-02       5.188744544302e+04 
       3.155431124089e-02       5.319737070155e+04 
       3.170145610315e-02       5.457682010947e+04 
       3.184904098793e-02       5.602986505141e+04 
       3.199707729687e-02       5.756090739448e+04 
       3.214557678880e-02       5.917486919931e+04 
       3.229455159381e-02       6.087694837518e+04 
       3.244401422787e-02       6.267289073257e+04 
       3.259397760830e-02       6.456820010822e+04 
       3.274445506993e-02       6.656978710480e+04 
       3.289546038212e-02       6.868394405931e+04 
       3.304700776665e-02       7.091871580672e+04 
       3.319911191653e-02       7.328157806784e+04 
       3.335178801573e-02       7.578157403409e+04 
       3.350505176008e-02       7.842727961271e+04 
       3.365891937914e-02       8.122924021706e+04 
       3.381340765937e-02       8.419770663419e+04 
       3.396853396843e-02       8.734447854583e+04 
       3.412431628097e-02       9.068189701862e+04 
       3.428077320572e-02       9.422315271739e+04 
       3.443792401414e-02       9.798308526311e+04 
       3.459578867079e-02       1.019773140137e+05 
       3.475438786525e-02       1.062226385456e+05 
       3.491374304612e-02       1.107373731759e+05 
       3.507387645685e-02       1.155417126100e+05 
       3.523481117374e-02       1.206569612289e+05 
       3.539657114633e-02       1.261067032823e+05 
       3.555918124006e-02       1.319162465079e+05 
       3.572266728174e-02       1.381131748001e+05 
       3.588705610774e-02       1.447276527703e+05 
       3.605237561526e-02       1.517923250524e+05 
       3.621865481690e-02       1.593427255265e+05 
       3.638592389868e-02       1.674176343578e+05 
       3.655421428199e-02       1.760599020540e+05 
       3.672355868951e-02       1.853149460855e+05 
       3.689399121566e-02       1.952340619183e+05 
       3.706554740183e-02       2.058725953893e+05 
       3.723826431676e-02       2.172910888256e+05 
       3.741218064260e-02       2.295557028480e+05 
       3.758733676700e-02       2.427400949527e+05 
       3.776377488191e-02       2.569242032415e+05 
       3.794153908953e-02       2.721968479619e+05 
       3.812067551606e-02       2.886552869430e+05 
       3.830123243404e-02       3.064065240793e+05 
       3.848326039396e-02       3.255700608708e+05 
       3.866681236607e-02       3.462771460454e+05 
       3.885194389323e-02       3.686741674305e+05 
       3.903871325600e-02       3.929220606751e+05 
       3.922718165097e-02       4.192024932834e+05 
       3.941741338382e-02       4.477139770479e+05 
       3.960947607839e-02       4.786818301533e+05 
       3.980344090344e-02       5.123549068123e+05 
       3.999938281900e-02       5.490127404792e+05 
       4.019738084416e-02       5.889704214330e+05 
       4.039751834875e-02       6.325770465140e+05 
       4.059988337135e-02       6.802368461248e+05 
       4.080456896657e-02       7.323930852928e+05 
       4.101167358483e-02       7.895563716489e+05 
       4.122130148835e-02       8.523038165695e+05 
       4.143356320744e-02       9.212889635555e+05 
       4.164857604193e-02       9.972580676924e+05 
       4.186646461303e-02       1.081067614954e+06 
       4.208736147177e-02       1.173699466285e+06 
       4.231140777109e-02       1.276282889798e+06 
       4.253875400956e-02       1.390119272959e+06 
       4.276956085597e-02       1.516718897945e+06 
       4.300400006543e-02       1.657841763352e+06 
       4.324225549923e-02       1.815532829461e+06 
       4.348452426262e-02       1.992188085641e+06 
       4.373101797711e-02       2.190624963378e+06 
       4.398196420624e-02       2.414184989703e+06 
       4.423760805749e-02       2.666802292800e+06 
       4.449821398635e-02       2.953178022037e+06 
       4.476406783332e-02       3.278951185006e+06 
       4.503547913041e-02       3.650859542243e+06 
       4.531278371973e-02       4.077081846890e+06 
       4.559634673543e-02       4.567538719562e+06 
       4.588656600946e-02       5.134350008750e+06 
       4.618387597386e-02       5.792456381826e+06 
       4.648875214666e-02       6.560245445456e+06 
       4.680171630621e-02       7.460713033996e+06 
       4.712334248111e-02       8.522663397287e+06 
       4.745426390973e-02       9.782419114400e+06 
       4.779518115776e-02       1.128633470382e+07 
       4.814687162409e-02       1.309383775613e+07 
       4.851020071896e-02       1.528188153615e+07 
       4.888613506499e-02       1.795125901849e+07 
       4.927575815639e-02       2.123503532605e+07 
