# Matter power spectrum P(k) at redshift z=0
# for k=1.04588e-05 to 1.08705 h/Mpc,
# number of wavenumbers equal to 603
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.345561115874e-02       2.350189767293e+04 
       1.358428938475e-02       2.353943907130e+04 
       1.371300389177e-02       2.357496466688e+04 
       1.384175478902e-02       2.360848781270e+04 
       1.397054220877e-02       2.364004382968e+04 
       1.409936630601e-02       2.366966332156e+04 
       1.422822725810e-02       2.369736325218e+04 
       1.435712526446e-02       2.372316194090e+04 
       1.448606054628e-02       2.374709565731e+04 
       1.461503334634e-02       2.376917429897e+04 
       1.474404392871e-02       2.378944524092e+04 
       1.487309257866e-02       2.380790265547e+04 
       1.500217960241e-02       2.382458865180e+04 
       1.513130532708e-02       2.383952358158e+04 
       1.526047010054e-02       2.385272737149e+04 
       1.538967429135e-02       2.386422747323e+04 
       1.551891828869e-02       2.387403684118e+04 
       1.564820250232e-02       2.388219576328e+04 
       1.577752736258e-02       2.388870446572e+04 
       1.590689332041e-02       2.389359686501e+04 
       1.603630084735e-02       2.389688890371e+04 
       1.616575043559e-02       2.389861198004e+04 
       1.629524259806e-02       2.389877493862e+04 
       1.642477786850e-02       2.389741263892e+04 
       1.655435680159e-02       2.389453291564e+04 
       1.668397997304e-02       2.389016185240e+04 
       1.681364797972e-02       2.388432644814e+04 
       1.694336143990e-02       2.387704212438e+04 
       1.707312099333e-02       2.386831702677e+04 
       1.720292730149e-02       2.385819971502e+04 
       1.733278104779e-02       2.384668379523e+04 
       1.746268293778e-02       2.383381701495e+04 
       1.759263369944e-02       2.381960096653e+04 
       1.772263408338e-02       2.380405075209e+04 
       1.785268486317e-02       2.378721883733e+04 
       1.798278683559e-02       2.376906245820e+04 
       1.811294082098e-02       2.374967099900e+04 
       1.824314766355e-02       2.372902877069e+04 
       1.837340823173e-02       2.370717778039e+04 
       1.850372341851e-02       2.368408699833e+04 
       1.863409414186e-02       2.365985656318e+04 
       1.876452134508e-02       2.363441616023e+04 
       1.889500599723e-02       2.360784435942e+04 
       1.902554909359e-02       2.358013072069e+04 
       1.915615165603e-02       2.355134256134e+04 
       1.928681473357e-02       2.352145998809e+04 
       1.941753940280e-02       2.349050344750e+04 
       1.954832676837e-02       2.345845903639e+04 
       1.967917796358e-02       2.342540522970e+04 
       1.981009415084e-02       2.339132780932e+04 
       1.994107652227e-02       2.335626247191e+04 
       2.007212630029e-02       2.332019967981e+04 
       2.020324473815e-02       2.328318281700e+04 
       2.033443312064e-02       2.324520129255e+04 
       2.046569276465e-02       2.320630212727e+04 
       2.059702501987e-02       2.316648936975e+04 
       2.072843126947e-02       2.312575500626e+04 
       2.085991293079e-02       2.308415422054e+04 
       2.099147145605e-02       2.304164403038e+04 
       2.112310833317e-02       2.299832617161e+04 
       2.125482508644e-02       2.295417095728e+04 
       2.138662327742e-02       2.290915133829e+04 
       2.151850450569e-02       2.286333384356e+04 
       2.165047040974e-02       2.281676961794e+04 
       2.178252266783e-02       2.276939949963e+04 
       2.191466299890e-02       2.272125024124e+04 
       2.204689316352e-02       2.267235580872e+04 
       2.217921496479e-02       2.262274664223e+04 
       2.231163024943e-02       2.257240163746e+04 
       2.244414090871e-02       2.252137420100e+04 
       2.257674887956e-02       2.246964667574e+04 
       2.270945614564e-02       2.241720165649e+04 
       2.284226473847e-02       2.236413188376e+04 
       2.297517673858e-02       2.231043618564e+04 
       2.310819427670e-02       2.225603464901e+04 
       2.324131953499e-02       2.220111754481e+04 
       2.337455474835e-02       2.214553693816e+04 
       2.350790220566e-02       2.208931277898e+04 
       2.364136425118e-02       2.203257228591e+04 
       2.377494328595e-02       2.197523175284e+04 
       2.390864176919e-02       2.191735617537e+04 
       2.404246221982e-02       2.185896429289e+04 
       2.417640721797e-02       2.179997541338e+04 
       2.431047940659e-02       2.174055752325e+04 
       2.444468149303e-02       2.168052735479e+04 
       2.457901625080e-02       2.162010315172e+04 
       2.471348652124e-02       2.155918138348e+04 
       2.484809521537e-02       2.149780959191e+04 
       2.498284531570e-02       2.143600528862e+04 
