# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.652437806398e-10       7.655018259994e-15       2.359824184224e-13       0.000000000000e+00       8.505004761343e-11       8.856990275517e-12      -7.425910940752e-15 
   41       1.677362824049e-10       8.315985896442e-15       2.265268619572e-13       0.000000000000e+00       8.084633788077e-11       8.445644153390e-12      -6.837220922316e-15 
   42       1.702473091049e-10       9.012480454583e-15       2.156765597147e-13       0.000000000000e+00       7.692249779139e-11       8.062676650711e-12      -6.501558745320e-15 
   43       1.727663379384e-10       9.744995812293e-15       2.035132321089e-13       0.000000000000e+00       7.323617813470e-11       7.705425694931e-12      -6.532198441592e-15 
   44       1.752981264263e-10       1.051416432846e-14       1.899927259133e-13       0.000000000000e+00       6.978171351457e-11       7.373033294204e-12      -6.878946102194e-15 
   45       1.778505074244e-10       1.132063744543e-14       1.750279558911e-13       0.000000000000e+00       6.655560117438e-11       7.064204397201e-12      -7.428218260874e-15 
   46       1.804296014564e-10       1.216503950515e-14       1.585200784324e-13       0.000000000000e+00       6.354276219388e-11       6.776288358856e-12      -8.040307785122e-15 
   47       1.830396103332e-10       1.304796678554e-14       1.403576908431e-13       0.000000000000e+00       6.071563885677e-11       6.505177309770e-12      -8.547853816038e-15 
   48       1.856827799917e-10       1.396991964851e-14       1.204387676405e-13       0.000000000000e+00       5.804268056627e-11       6.246493224237e-12      -8.801584811771e-15 
   49       1.883597581785e-10       1.493107861504e-14       9.874564986259e-14       0.000000000000e+00       5.551873637263e-11       5.999781951658e-12      -8.826365499273e-15 
   50       1.910689830080e-10       1.593146351280e-14       7.528981861537e-14       0.000000000000e+00       5.314167890322e-11       5.765326818468e-12      -8.706508832422e-15 
   51       1.938063296654e-10       1.697099058480e-14       5.009135415469e-14       0.000000000000e+00       5.090335061827e-11       5.542928152918e-12      -8.543203552006e-15 
   52       1.965649126595e-10       1.804946811316e-14       2.317929522657e-14       0.000000000000e+00       4.878914018610e-11       5.331867404416e-12      -8.455396018633e-15 
   53       1.993377595917e-10       1.916670159441e-14      -5.421774582848e-15       0.000000000000e+00       4.678257002029e-11       5.131219454983e-12      -8.549436929985e-15 
   54       2.021270948284e-10       2.032285109034e-14      -3.573684436202e-14       0.000000000000e+00       4.488141894492e-11       4.940966429532e-12      -8.816828337889e-15 
   55       2.049370984138e-10       2.151815814014e-14      -6.780633372714e-14       0.000000000000e+00       4.308500703994e-11       4.761107759077e-12      -9.211719915846e-15 
   56       2.077711679041e-10       2.275284446417e-14      -1.016735485721e-13       0.000000000000e+00       4.138933866120e-11       4.591316255902e-12      -9.679424374346e-15 
   57       2.106318410194e-10       2.402711218105e-14      -1.373848992120e-13       0.000000000000e+00       3.978688892718e-11       4.430916832142e-12      -1.015598964532e-14 
   58       2.135207182957e-10       2.534114402472e-14      -1.749901185270e-13       0.000000000000e+00       3.826639020581e-11       4.278865218379e-12      -1.056777106660e-14 
   59       2.164387763057e-10       2.669498606490e-14      -2.145280995143e-13       0.000000000000e+00       3.681593382868e-11       4.134031921881e-12      -1.084892056296e-14 
   60       2.193875679331e-10       2.808816357087e-14      -2.559800718382e-13       0.000000000000e+00       3.543360130514e-11       3.996179441017e-12      -1.099956866698e-14 
   61       2.223681646317e-10       2.951997616491e-14      -2.993059176937e-13       0.000000000000e+00       3.411892902608e-11       3.865174780571e-12      -1.104042200519e-14 
   62       2.253807275650e-10       3.098960378634e-14      -3.444573324824e-13       0.000000000000e+00       3.286971104598e-11       3.740693454646e-12      -1.099621018560e-14 
   63       2.284244434976e-10       3.249610292559e-14      -3.913775554786e-13       0.000000000000e+00       3.168189795022e-11       3.622208552358e-12      -1.089586533796e-14 
   64       2.314974606871e-10       3.403840285841e-14      -4.400011004946e-13       0.000000000000e+00       3.054949572249e-11       3.508979803536e-12      -1.077270165401e-14 
   65       2.345978045779e-10       3.561542566135e-14      -4.902679659916e-13       0.000000000000e+00       2.946621980828e-11       3.400256018812e-12      -1.065709577352e-14 
   66       2.377264942825e-10       3.722648425959e-14      -5.421703682481e-13       0.000000000000e+00       2.843109161888e-11       3.295956801461e-12      -1.055232291593e-14 
   67       2.408849734674e-10       3.887096219598e-14      -5.957154532520e-13       0.000000000000e+00       2.744384998825e-11       3.196116090846e-12      -1.045390908370e-14 
   68       2.440741527743e-10       4.054819699040e-14      -6.509118237328e-13       0.000000000000e+00       2.650324949786e-11       3.100676654533e-12      -1.035664899218e-14 
   69       2.472943731190e-10       4.225747983631e-14      -7.077696748472e-13       0.000000000000e+00       2.560700844049e-11       3.009485122505e-12      -1.025457584334e-14 
   70       2.505453689894e-10       4.399805529726e-14      -7.663009298644e-13       0.000000000000e+00       2.475175678396e-11       2.922287021369e-12      -1.014093109949e-14 
   71       2.538262317447e-10       4.576912100348e-14      -8.265193758515e-13       0.000000000000e+00       2.393298413489e-11       2.838721808573e-12      -1.000813425699e-14 
   72       2.571359957906e-10       4.756978852180e-14      -8.884315723055e-13       0.000000000000e+00       2.314619987987e-11       2.758419656842e-12      -9.850086249896e-15 
   73       2.604756089257e-10       4.939895794427e-14      -9.520072552235e-13       0.000000000000e+00       2.239078705415e-11       2.681324350259e-12      -9.669658697752e-15 
   74       2.638462756389e-10       5.125541856641e-14      -1.017203470850e-12       0.000000000000e+00       2.166679762941e-11       2.607423682687e-12      -9.472594288026e-15 
   75       2.672488456449e-10       5.313788441114e-14      -1.083973225671e-12       0.000000000000e+00       2.097378193484e-11       2.536650601450e-12      -9.265323181289e-15 
   76       2.706837914040e-10       5.504499303890e-14      -1.152265411438e-12       0.000000000000e+00       2.031076429616e-11       2.468880564605e-12      -9.054986064152e-15 
